,S.no,zpid,streetAddress,zipcode,city,state,latitude,longitude,price,bathrooms,bedrooms,livingArea,homeType,daysOnZillow,zestimate,rentZestimate,taxAssessedValue,lotAreaValue,lotAreaUnit,Bedrooms,Bathrooms,Full_bathrooms,Flooring,Heating_features,Cooling_features,Appliances_included,Laundry_features,Total_structure_area,Total_interior_livable_area,Fireplace_features,Parking_features,Stories,Pool_features,Lot_features,Home_type,Architectural_style,Property_subType,Roof,Year_built,Sewer_information,Water_information,Region,Interior_features,Total_number_of_fireplaces,Total_spaces,Garage_spaces,Covered_spaces,Livability,Crime,Employment,Housing,Schools
420,381,19259110,24 Midhill Dr,94941,Mill Valley,CA,37.9149,-122.52106,3295000,3,4,3231,SINGLE_FAMILY,-1,3346400,13151,2730743,0.2717,acres,4,3,2," Carpet, Wood"," Central, Gas, MultiZone", Central Air," Built-In Electric Oven, Built-In Refrigerator, Dishwasher, Disposal, Gas Cooktop, Gas Water Heater, Microwave, Self Cleaning Oven, Warming Drawer, Wine Refrigerator, Dryer, Washer"," Cabinets, Inside Room, Sink",3231," 3,231 sqft"," Family Room, Gas Log, Living Room, Raised Hearth, Stone"," Attached, Garage Door Opener, Garage Faces Front, Inside Entrance, Side-by-Side, Paved Driveway",,," Auto Sprinkler F&R, Auto Sprinkler Front, Auto Sprinkler Rear, Grass Artificial, Landscape Back, Landscape Front, Landscape Misc, Low Maintenance", SingleFamily,, Single Family Residence, Composition,1966, Public Sewer,, Mill Valley," Cathedral Ceiling(s), Formal Entry, Open Beam Ceiling, Storage, Wet Bar",4,2,2,2,85,B+,A+,C,A+
421,382,19265511,110 Wisteria Way,94941,Mill Valley,CA,37.887806,-122.52728,3499000,4,4,2972,SINGLE_FAMILY,-1,3499000,5000,2017417,9749,sqft,4,4,4, Wood, Central, Central Air," Built-In Refrigerator, Dishwasher, Disposal, Double Oven, Free-Standing Gas Oven, Free-Standing Gas Range, Range Hood, Microwave, Dryer, Washer"," Laundry Closet, Upper Level",2972," 2,972 sqft"," Living Room, Wood Burning"," Electric Vehicle Charging Station(s), No Garage, Uncovered Parking Spaces 2+, Paved Driveway",,," Garden, Landscape Misc", SingleFamily,, Single Family Residence,,1924, Public Sewer,, Mill Valley," Cathedral Ceiling(s), Storage",2,2,,2,85,B+,A+,C,A+
422,383,19258629,6013 Shelter Bay Ave,94941,Mill Valley,CA,37.892075,-122.52184,1595000,3,2,1850,CONDO,-1,1705300,5340,1422262,802,sqft,2,3,2," Carpet, Simulated Wood", Central," Central Air, MultiZone"," Dishwasher, Disposal, Electric Water Heater, Ice Maker, Microwave, Wine Refrigerator, Other, Dryer, Washer", Inside Room,1850," 1,850 sqft", Living Room," Detached, Garage Door Opener, Guest, Side-by-Side, Other, Paved Driveway",,," Auto Sprinkler Front, Auto Sprinkler Rear, Cul-De-Sac, Landscape Front", Condo,, Condominium, Composition,1983, Public Sewer,, Mill Valley, Wet Bar,2,2,2,2,85,B+,A+,C,A+
423,384,15508707,1212 Hillcrest Blvd,94030,Millbrae,CA,37.59385,-122.40573,2280000,3,4,2423,SINGLE_FAMILY,-1,2291100,6499,944250,5545.188,sqft,4,3,3," Carpet, Hardwood", Central Forced Air - Gas, None," Dishwasher, Gas Oven, Refrigerator, Washer/Dryer", Other,2423," 2,423 sqft", Wood Burning," Attached, On Street",,,, SingleFamily,," Residential, Single Family Residence"," Composition,Tile",1941, Public Sewer,, Millbrae, High Ceilings,2,2,2,1,80,A,B+,C,B
424,385,15509650,240 Poplar Ave,94030,Millbrae,CA,37.598427,-122.39359,1968000,3,3,2324,SINGLE_FAMILY,-1,2188700,5995,1597070,5519.052,sqft,3,3,3,, Central Forced Air, None,, Inside,2324," 2,324 sqft"," Living Room, Wood Burning"," Attached, Off Street",,,, SingleFamily,," Residential, Single Family Residence", Tile,1928, Public Sewer,, Millbrae,,1,1,1,,80,A,B+,C,B
425,386,2062596582,88 S Broadway UNIT 1103,94030,Millbrae,CA,37.597088,-122.38768,1099000,2,2,1245,CONDO,-1,1099000,5000,,0,,2,2,2, Hardwood, Forced Air, Central Air," Gas Cooktop, Dishwasher, Oven Range - Built-In, Refrigerator, Washer/Dryer",,1245," 1,245 sqft",," Assigned, Garage Door Opener, Tandem",,,, Condo,," Residential, Condominium", Other,2007, Public Sewer,, Millbrae,,2,2,2,1,80,A,B+,C,B
426,387,15511470,330 Marcella Way,94030,Millbrae,CA,37.590073,-122.3912,1950000,2,3,1440,SINGLE_FAMILY,-1,2037900,4699,132325,8398.368,sqft,3,2,2," Hardwood, Tile", Central Forced Air - Gas, Central Air," Electric Cooktop, Dishwasher, Exhaust Fan, Disposal, Range Hood, Electric Oven, Self Cleaning Oven, Oven Range - Electric, Refrigerator, Washer/Dryer", In Garage,1440," 1,440 sqft"," Insert, Living Room"," Attached, Garage Door Opener",,," Level, Sprinklers - Lawn, City Lot", SingleFamily,," Residential, Single Family Residence", Composition,1955, Public Sewer,, Millbrae, Walk-In Closet(s),2,2,2,1,80,A,B+,C,B
427,388,15508582,375 La Prenda,94030,Millbrae,CA,37.5931,-122.41085,2688888,4,3,1920,SINGLE_FAMILY,-1,2779500,10999,2042500,0.2996,acres,3,4,3," Tile, Wood"," Central, Gas",," Dishwasher, Free-Standing Gas Range"," Gas Dryer Hookup, Inside",1920," 1,920 sqft",," Attached, Garage Door Opener, Interior Access, Private, Side By Side, Side by Side, On Site (Single Family Only), Driveway",,," Corner Lot, Cul-De-Sac, Street Lights", SingleFamily,, Single Family Residence,,1957, Public Sewer,, Millbrae,,2,,,1,80,A,B+,C,B
428,389,15502424,849 Tioga Dr,94030,Millbrae,CA,37.598003,-122.409,2295000,2,4,2120,SINGLE_FAMILY,-1,2368900,5322,167367,9099.684,sqft,4,2,2," Carpet, Hardwood, Tile", Central Forced Air, Central Air," Gas Cooktop, Dishwasher, Exhaust Fan, Gas Oven, Refrigerator, Washer/Dryer",,2120," 2,120 sqft", Wood Burning," Attached, Off Street",,, Sprinklers - Lawn, SingleFamily,," Residential, Single Family Residence", Composition,1965, Public Sewer,, Millbrae, Storage,2,2,2,,80,A,B+,C,B
429,390,15501776,301 San Pablo Ave,94030,Millbrae,CA,37.607803,-122.39397,1398000,1,3,1140,SINGLE_FAMILY,-1,1427600,4028,535938,5000.688,sqft,3,1,1," Hardwood, Laminate", Central Forced Air, None," Dishwasher, Range Hood, Oven Range - Gas, Refrigerator, Tankless Water Heater", Inside,1140," 1,140 sqft", Wood Burning," Attached, Off Street",,, City Lot, SingleFamily,," Residential, Single Family Residence", Shingle,1952, Public Sewer,, Millbrae,,1,1,1,1,80,A,B+,C,B
430,391,15510242,1112 Millbrae Ave,94030,Millbrae,CA,37.593018,-122.39896,2830000,4,6,3203,SINGLE_FAMILY,-1,2833400,7411,1612954,6398.964,sqft,6,4,4," Carpet, Hardwood, Tile", Forced Air, None," Dishwasher, Exhaust Fan, Disposal, Oven Range - Built-In, Refrigerator", In Garage,3203," 3,203 sqft",," Attached, Garage Door Opener, Parking Lot",,,, SingleFamily,," Residential, Single Family Residence"," Composition,Shake",1959, Sewer in Street,, Millbrae," Storage, Walk-In Closet(s), Wet Bar",2,2,2,3,80,A,B+,C,B
431,392,15509073,20 El Bonito Way,94030,Millbrae,CA,37.593014,-122.404366,1898000,2,3,1830,SINGLE_FAMILY,-1,1964900,5959,721316,8633.592,sqft,3,2,2," Carpet, Hardwood, Tile", Central Forced Air - Gas, Central Air," Electric Cooktop, Dishwasher, Exhaust Fan, Disposal, Range Hood, Microwave, Electric Oven, Refrigerator, Dryer, Washer", In Utility Room,1830," 1,830 sqft"," Living Room, Wood Burning, Outside", Attached,,," Grade - Hillside, Grade - Sloped Down, Sprinklers - Lawn, City Lot", SingleFamily,," Residential, Single Family Residence", Composition,1941, Public Sewer,, Millbrae," Storage, Walk-In Closet(s)",3,1,1,2,80,A,B+,C,B
432,393,15508859,1290 Hillcrest Blvd,94030,Millbrae,CA,37.592117,-122.4072,1895000,2,3,1570,SINGLE_FAMILY,-1,1983700,4937,128865,6111.468,sqft,3,2,2,,,,,,1570," 1,570 sqft"," Living Room, Brick", Garage Faces Front,,,, SingleFamily,, Single Family Residence,,1951,,, Millbrae,,,,,,80,A,B+,C,B
433,394,15510532,219 Castenada Dr,94030,Millbrae,CA,37.590584,-122.39654,3098000,2,4,2030,SINGLE_FAMILY,-1,3111000,6195,2396068,0.4611,acres,4,2,2, Hardwood, Central Forced Air, None,, Inside,2030," 2,030 sqft", Living Room, Attached,,,, SingleFamily,," Residential, Single Family Residence", Tile,1959, Public Sewer,, Millbrae,,2,2,2,1,80,A,B+,C,B
434,395,15510224,9 La Mancha Pl,94030,Millbrae,CA,37.59391,-122.39989,2100000,3,4,2450,SINGLE_FAMILY,-1,2175400,6498,208112,4978.908,sqft,4,3,3, Other, Forced Air, None," Oven Range - Gas, Dryer", In Garage,2450," 2,450 sqft"," Family Room, Gas, Living Room, Wood Burning"," Attached, On Street",,," Views, City Lot", SingleFamily,," Residential, Single Family Residence", Composition,1952, Public Sewer,, Millbrae,,2,2,2,2,80,A,B+,C,B
435,396,15500440,412 Bayview Ave,94030,Millbrae,CA,37.612926,-122.41065,2048000,2,3,1570,SINGLE_FAMILY,-1,2111100,4635,601038,5741.208,sqft,3,2,2,, Central Forced Air, Central Air,,,1570," 1,570 sqft"," Family Room, Living Room", Attached,,,, SingleFamily,," Residential, Single Family Residence", Composition,1951, Public Sewer,, Millbrae,,1,1,1,1,80,A,B+,C,B
436,397,2062093042,88 S Broadway UNIT 2403,94030,Millbrae,CA,37.597088,-122.38768,1128000,2,2,1241,CONDO,-1,1128000,5000,,0,,2,2,2, Wood, Central Forced Air, Central Air," Exhaust Fan, Disposal, Microwave, Oven Range, Refrigerator, Dryer, Washer", Inside,1241," 1,241 sqft",," Assigned, Garage Door Opener, Guest, Underground",,,, Condo,," Residential, Condominium", Other,2007, Public Sewer,, Millbrae," High Ceilings, Walk-In Closet(s)",2,2,2,1,80,A,B+,C,B
437,398,2062196675,88 S Broadway UNIT 3305,94030,Millbrae,CA,37.597088,-122.38768,1238000,2,2,1417,CONDO,-1,1238000,5000,,0,,2,2,2," Carpet, Hardwood, Tile", Central Forced Air, Central Air," Dishwasher, Range Hood, Microwave, Oven Range - Gas, Refrigerator, Washer/Dryer", Inside,1417," 1,417 sqft"," Gas, Living Room"," Assigned, Attached, Electric Gate, Garage Door Opener, Underground",,, City Lot, Condo,," Residential, Condominium", Other,2007, Public Sewer,, Millbrae, Walk-In Closet(s),2,2,2,,80,A,B+,C,B
438,399,2062299815,88 S Broadway UNIT 3101,94030,Millbrae,CA,37.597088,-122.38768,1198000,2,2,1381,CONDO,-1,1198000,5000,,0,,2,2,2," Carpet, Tile, Wood", Central Forced Air - Gas, Central Air," Dishwasher, Disposal, Microwave, Oven Range - Gas, Refrigerator, Washer/Dryer"," Electricity Hookup (220V), Inside",1381," 1,381 sqft"," Gas, Living Room"," Carport, Common, Garage Door Opener",,, City Lot, Condo,," Residential, Condominium", Composition,2007, Public Sewer,, Millbrae, Walk-In Closet(s),2,2,,1,80,A,B+,C,B
439,400,2062714042,88 S Broadway UNIT 3412,94030,Millbrae,CA,37.597088,-122.38768,1268000,2,2,1381,CONDO,-1,1268000,5000,,0.4817,acres,2,2,2," Carpet, Tile, Wood", Central Forced Air - Gas, Central Air," Dishwasher, Disposal, Microwave, Oven Range - Gas, Refrigerator, Washer/Dryer", Inside,1381," 1,381 sqft"," See Through, Gas, Living Room"," Attached, Common, Electric Gate, Enclosed, Garage Door Opener, Guest",,, City Lot, Condo,," Residential, Condominium", Other,2007, Public Sewer,, Millbrae, High Ceilings,2,2,2,1,80,A,B+,C,B
440,401,15621154,1550 Frontera Way APT 319,94030,Millbrae,CA,37.582447,-122.402695,649000,1,1,764,CONDO,-1,649676,2528,688500,0,,1,1,1,, Electric, None,,,764, 764 sqft,," Assigned, Underground",,,, Condo,," Residential, Condominium", Other,1973, Public Sewer,, Millbrae,,1,1,1,1,80,A,B+,C,B
441,402,15509021,830 Almenar St,94030,Millbrae,CA,37.597202,-122.40035,2498000,3,3,1970,SINGLE_FAMILY,-1,2443000,5669,139954,5797.836,sqft,3,3,2," Carpet, Hardwood, Vinyl / Linoleum, Wood", Central Forced Air, Central Air," Dishwasher, Microwave, Oven, Refrigerator, Washer/Dryer", In Garage,1970," 1,970 sqft", Wood Burning, Attached,,, Low Maintenance, SingleFamily,," Residential, Single Family Residence", Shingle,1951, Public Sewer,, Millbrae, Storage,2,2,2,,80,A,B+,C,B
442,403,166730822,2036 Trento Loop,95035,Milpitas,CA,37.404163,-121.89298,1425000,4,3,1981,TOWNHOUSE,-1,1425648,4200,919360,0,,3,4,3,, Central Forced Air, Central Air," Dishwasher, Microwave, Refrigerator, Washer/Dryer", Upper Floor,1981," 1,981 sqft",, Attached,,,, Townhouse,," Residential, Townhouse", Tile,2015, Public Sewer,, Milpitas,,2,2,2,3,72,B-,B-,C-,C+
443,404,51073158,860 Towne Dr,95035,Milpitas,CA,37.41978,-121.89824,838000,3,2,1158,TOWNHOUSE,-1,878000,3200,565375,0,,2,3,2, Hardwood, Heating - 2+ Zones, None,, Inside,1158," 1,158 sqft"," Gas Starter, Living Room"," Attached, Common",,,, Townhouse,," Residential, Townhouse", Composition,2000," Public Sewer, TBD",, Milpitas,,1,1,1,3,72,B-,B-,C-,C+
444,405,19475268,825 Los Positos Dr,95035,Milpitas,CA,37.44095,-121.89228,2168000,3,4,2874,SINGLE_FAMILY,-1,2168016,4734,704691,5296.896,sqft,4,3,3,, Central Forced Air," Central Air, Zoned", Washer/Dryer, Inside,2874," 2,874 sqft", Family Room," Attached, Off Street",,,, SingleFamily,," Residential, Single Family Residence", Tile,1981,,, Milpitas,,2,2,2,2,72,B-,B-,C-,C+
445,406,19475731,633 Angus Dr,95035,Milpitas,CA,37.43872,-121.89606,2999000,3,4,3274,SINGLE_FAMILY,-1,3006636,5999,1694429,0,,4,3,3," Carpet, Laminate"," Central Forced Air, Heating - 2+ Zones"," Central Air, Zoned"," Gas Cooktop, Dishwasher, Exhaust Fan, Microwave, Trash Compactor"," Electricity Hookup (220V), Gas Hookup, Inside",3274," 3,274 sqft", Family Room," Attached, Off Street",,," Corners Marked, Views, City Lot", SingleFamily,," Residential, Single Family Residence", Tile,1997, Public Sewer,, Milpitas," Storage, High Ceilings, Vaulted Ceiling(s), Walk-In Closet(s)",3,3,3,2,72,B-,B-,C-,C+
446,407,19480881,1464 Edsel Dr,95035,Milpitas,CA,37.430134,-121.87837,1228800,2,3,1100,SINGLE_FAMILY,-1,1233800,3777,772641,6316.2,sqft,3,2,2, Laminate, Individual Room Controls, None,, In Garage,1100," 1,100 sqft",, Attached,,,, SingleFamily,," Residential, Single Family Residence", Shingle,1956, Public Sewer,, Milpitas,,2,2,2,1,72,B-,B-,C-,C+
447,408,19473035,2073 Conway St,95035,Milpitas,CA,37.461613,-121.90606,1388800,2,3,945,SINGLE_FAMILY,-1,1396900,3384,586811,5985,sqft,3,2,2,," Forced Air, Electric", Central Forced Air," Dishwasher, Microwave, Refrigerator, Freezer, Gas Oven, Gas Stove, Ice Maker, Water Line to Refr, Counter Top"," In Garage, Washer Hookup, Gas & Electric Dryer HU",945, 945 sqft,, Garage,,,, SingleFamily,, Detached, Shingle,1960,,, Milpitas," MBR Entry Level, Entry",4,2,2,1,72,B-,B-,C-,C+
448,409,19481095,135 S Gadsden Dr,95035,Milpitas,CA,37.434525,-121.87908,1450000,3,5,1762,SINGLE_FAMILY,-1,1464400,4200,74083,6250.86,sqft,5,3,3," Tile, Vinyl / Linoleum", Central Forced Air, None," Dishwasher, Disposal, Range Hood, Oven Range - Gas"," Electricity Hookup (220V), In Garage",1762," 1,762 sqft",, Attached,,, City Lot, SingleFamily,," Residential, Single Family Residence", Composition,1958, Public Sewer,, Milpitas,,2,2,2,1,72,B-,B-,C-,C+
449,410,19472070,1116 N Abbott Ave,95035,Milpitas,CA,37.44288,-121.91741,698000,2,3,1143,CONDO,-1,699686,3399,699032,0,,3,2,2, Carpet, Wall Furnace, Other," Electric Cooktop, Dishwasher, Washer/Dryer", Inside,1143," 1,143 sqft",, Carport,,,, Condo,," Residential, Condominium", Composition,1979,,, Milpitas, Storage,1,1,,1,72,B-,B-,C-,C+
450,411,19481897,712 Carlsbad St,95035,Milpitas,CA,37.428867,-121.86752,998888,2,3,1290,SINGLE_FAMILY,-1,1012800,3580,120332,6738.732,sqft,3,2,2,, Forced Air, None,,,1290," 1,290 sqft", Family Room, Attached,,,, SingleFamily,," Residential, Single Family Residence", Composition,1977, Public Sewer,, Milpitas,,2,2,2,1,72,B-,B-,C-,C+
451,412,19481041,130 Solar Ct,95035,Milpitas,CA,37.434566,-121.87954,1399888,3,3,1000,SINGLE_FAMILY,-1,1416100,3460,55458,6198.588,sqft,3,3,2," Carpet, Laminate, Tile", Central Forced Air, None," Gas Cooktop, Disposal, Microwave, Refrigerator", In Garage,1000," 1,000 sqft",, Attached,,,, SingleFamily,," Residential, Single Family Residence", Composition,1958, Public Sewer,, Milpitas,,2,2,2,1,72,B-,B-,C-,C+
452,413,19483654,1556 Clear Lake Ave,95035,Milpitas,CA,37.419674,-121.873764,770000,2,3,1180,CONDO,-1,777000,3196,165540,900,sqft,3,2,,, Floor/Wall Heater,,,,1180," 1,180 sqft",, Open,,,, Condo,, Condominium,,1971,,, Milpitas,,,,,2,72,B-,B-,C-,C+
453,414,116156035,54 Pimentel Cir,95035,Milpitas,CA,37.43345,-121.89107,1575000,4,4,2155,SINGLE_FAMILY,-1,1588900,4364,931198,1742.4,sqft,4,4,3," Concrete, Hardwood, Tile, Carpet", Forced Air, Central Air," Dishwasher, Microwave, Range, Refrigerator, Dryer, Washer, Tankless Water Heater"," Dryer, Washer",2155," 2,155 sqft", None," Attached, Garage Door Opener",,," Corner Lot, Regular", SingleFamily,, Single Family Residence,,2012, Public Sewer,, Milpitas," Dining Area, Kitchen/Family Combo, Breakfast Bar, Stone Counters, Kitchen Island, Updated Kitchen, Smart Thermostat",2,2,2,,72,B-,B-,C-,C+
454,415,299680608,1457 Lavender Loop,95035,Milpitas,CA,37.413204,-121.88865,1198000,3,3,1753,TOWNHOUSE,-1,1211799,3993,923967,1293.732,sqft,3,3,3,, Central Forced Air, Central Air, Washer/Dryer, Inside,1753," 1,753 sqft",, Attached,,,, Townhouse,," Residential, Townhouse", Composition,2018, Public Sewer,, Milpitas, Walk-In Closet(s),2,2,2,3,72,B-,B-,C-,C+
455,416,19481440,340 S Temple Dr,95035,Milpitas,CA,37.432636,-121.87406,1249000,2,4,1102,SINGLE_FAMILY,-1,1254700,3949,653813,6655.968,sqft,4,2,2," Hardwood, Laminate, Tile", Wall Furnace, Wall/Window Unit(s)," Dishwasher, Disposal, Microwave, Oven Range - Electric, Tankless Water Heater, Washer/Dryer", In Garage,1102," 1,102 sqft",," Attached, Electric Vehicle Hookup Level 2 (240 volts)",,, City Lot, SingleFamily,," Residential, Single Family Residence", Composition,1960, Public Sewer,, Milpitas,,2,2,2,1,72,B-,B-,C-,C+
456,417,300480328,431 Desert Holly St,95035,Milpitas,CA,37.447796,-121.91772,1350000,4,3,1832,TOWNHOUSE,-1,1366100,4099,978006,1833.876,sqft,3,4,3," Carpet, Vinyl / Linoleum", Central Forced Air - Gas, Central Air," Gas Cooktop, Dishwasher, Exhaust Fan, Disposal, Microwave, Electric Oven, Refrigerator"," Electricity Hookup (220V), Inside",1832," 1,832 sqft",, Attached,,,, Townhouse,," Residential, Townhouse", Tile,2018, Public Sewer,, Milpitas," High Ceilings, Walk-In Closet(s), Thermostat Controller",2,2,2,3,72,B-,B-,C-,C+
457,418,19471595,231 Barker St,95035,Milpitas,CA,37.432888,-121.913635,1295888,2,3,1116,SINGLE_FAMILY,-1,1389100,3699,313248,6534,sqft,3,2,2," Tile, Carpet", Floor Furnace, Central Air, Dishwasher, Hookups Only,1116," 1,116 sqft", Brick," Attached, Garage Door Opener",,, No Lot, SingleFamily,, Single Family Residence, Shingle,1957,,, Milpitas, Dining Area,2,2,2,1,72,B-,B-,C-,C+
458,419,19477901,391 N Temple Dr,95035,Milpitas,CA,37.44315,-121.878716,699999,2,3,1146,CONDO,-1,703400,3200,168804,0,,3,2,1," Carpet, Tile", Central Forced Air - Gas, Ceiling Fan(s)," Electric Cooktop, Dishwasher, Microwave, Electric Oven, Refrigerator"," Gas Hookup, Outside",1146," 1,146 sqft"," Living Room, Wood Burning", Assigned,,,, Condo,," Residential, Condominium", Composition,1970, Public Sewer,, Milpitas,,2,2,2,2,72,B-,B-,C-,C+
459,420,166728021,670 Barcelona Loop,95035,Milpitas,CA,37.413994,-121.89167,1399500,4,3,1860,TOWNHOUSE,-1,1416816,3997,841740,644.688,sqft,3,4,3,, Forced Air, Central Air," Dishwasher, Refrigerator",,1860," 1,860 sqft",, Attached,,,, Townhouse,," Residential, Townhouse", Composition,2015,,, Milpitas,,2,2,2,3,72,B-,B-,C-,C+
460,421,19481575,1788 Burley Dr,95035,Milpitas,CA,37.43625,-121.87421,1298888,2,4,1382,SINGLE_FAMILY,-1,1331500,4069,471941,5998.212,sqft,4,2,2,, Central Forced Air, None,,,1382," 1,382 sqft", Wood Burning, Attached,,,, SingleFamily,," Residential, Single Family Residence", Composition,1960, Public Sewer,, Milpitas,,2,2,2,1,72,B-,B-,C-,C+
461,422,19480890,305 Roswell Dr,95035,Milpitas,CA,37.43228,-121.877396,1199000,2,3,1187,SINGLE_FAMILY,-1,1220400,3628,684628,6268.284,sqft,3,2,2, Laminate," Individual Room Controls, Wall Furnace, Other"," Zoned, Wall/Window Unit(s)"," Dishwasher, Disposal, Range Hood, Oven Range - Gas, Refrigerator", In Garage,1187," 1,187 sqft",," Attached, On Street",,," Sprinklers - Lawn, City Lot", SingleFamily,," Residential, Single Family Residence", Tar/Gravel,1959, Public Sewer,, Milpitas, Vaulted Ceiling(s),2,2,2,1,72,B-,B-,C-,C+
462,423,19481597,1836 Ellwell Dr,95035,Milpitas,CA,37.435764,-121.873215,1485000,2,4,1552,SINGLE_FAMILY,-1,1522300,4066,582792,6233.436,sqft,4,2,2," Laminate, Tile"," Central Forced Air - Gas, Wall Furnace", Central Air,, Inside,1552," 1,552 sqft"," Other Location, Wood Burning", Attached,,, City Lot, SingleFamily,," Residential, Single Family Residence", Shingle,1960, Public Sewer,, Milpitas,,1,1,1,1,72,B-,B-,C-,C+
463,424,112096313,1784 Snell Pl,95035,Milpitas,CA,37.405144,-121.90149,968888,2,3,1359,TOWNHOUSE,-1,970700,3614,847792,1210.968,sqft,3,2,2," Laminate, Tile", Central Forced Air - Gas, Central Air," Dishwasher, Exhaust Fan, Disposal, Oven Range - Gas, Refrigerator, Washer/Dryer",,1359," 1,359 sqft",," Attached, Guest",,,, Townhouse,," Residential, Townhouse", Tile,2010, Public Sewer,, Milpitas,,2,2,2,2,72,B-,B-,C-,C+
464,425,19472130,1181 N Abbott Ave,95035,Milpitas,CA,37.443817,-121.915146,549000,1,2,863,CONDO,-1,577000,2699,520149,1215.324,sqft,2,1,1," Carpet, Tile"," Baseboard, Electric", Ceiling Fan(s)," Range Hood, Dishwasher, Disposal, Free-Standing Electric Range, Washer/Dryer Stacked",,863, 863 sqft,," Assigned, Guest",,, Other, Condo,, Condominium, Composition,1979, Public Sewer,, Milpitas,,1,1,,2,72,B-,B-,C-,C+
465,426,112099621,1793 Snell Pl,95035,Milpitas,CA,37.404957,-121.901985,999999,3,3,1253,TOWNHOUSE,-1,999577,3584,713928,1280.664,sqft,3,3,3, Laminate, Central Forced Air," Ceiling Fan(s), Central Air"," Disposal, Microwave, Gas Oven, Oven Range, Refrigerator, Tankless Water Heater, Washer/Dryer",,1253," 1,253 sqft",, Attached,,,, Townhouse,," Residential, Townhouse", Other,2010, Public Sewer,, Milpitas,,2,2,2,3,72,B-,B-,C-,C+
466,427,166731681,2035 Trento Loop,95035,Milpitas,CA,37.403915,-121.89303,1199900,3,2,1416,TOWNHOUSE,-1,1199900,3628,891320,0,,2,3,2,," Central, Natural Gas"," Central Air, Electric"," Dishwasher, Disposal, Gas Range", Inside,1416," 1,416 sqft", None, Garage - Attached,,,, Townhouse,, Townhouse,,2016, Public Sewer,, Milpitas," 2 Staircases, Balcony, Ceiling Fan(s), Granite Counters, Tandem, All Bedrooms Up, Kitchen, Living Room, Master Bathroom, Master Bedroom, Eating Area In Dining Room",2,2,2,,72,B-,B-,C-,C+
467,428,251006631,1427 S Milpitas Blvd,95035,Milpitas,CA,37.41384,-121.88747,899000,2,2,1065,TOWNHOUSE,-1,895900,3399,814332,1276.308,sqft,2,2,1, Laminate, Central Forced Air - Gas, Central Air," Exhaust Fan, Microwave, Oven Range, Oven Range - Built-In, Refrigerator, Tankless Water Heater, Water Filter - Owned, Washer/Dryer"," Inside, Upper Floor",1065," 1,065 sqft",," Attached, Off Street, Electric Vehicle Hookup Level 1 (120 volts)",,," None, City Lot", Townhouse,," Residential, Townhouse", Composition,2018, Public Sewer,, Milpitas," Storage, Walk-In Closet(s), Smart Home, Thermostat Controller, Whole House Fan",2,2,2,,72,B-,B-,C-,C+
468,429,19481553,1778 Findley Dr,95035,Milpitas,CA,37.43488,-121.87397,1299900,2,4,1158,SINGLE_FAMILY,-1,1313100,3949,544533,6412.032,sqft,4,2,2, Laminate, Wall Furnace, None," Oven Range - Gas, Washer/Dryer", Gas Hookup,1158," 1,158 sqft",," Attached, Guest, On Street, Oversized, Electric Vehicle Hookup Level 1 (120 volts)",,," Corners Marked, Low Maintenance, City Lot", SingleFamily,," Residential, Single Family Residence", Fiberglass,1960, Public Sewer,, Milpitas,,6,2,2,1,72,B-,B-,C-,C+
469,430,19482734,1312 Acadia Ave,95035,Milpitas,CA,37.426453,-121.87989,1468888,3,4,1586,SINGLE_FAMILY,-1,1440100,4150,134049,5719.428,sqft,4,3,3," Carpet, Hardwood, Laminate, Tile", Central Forced Air," Ceiling Fan(s), Central Air"," Dishwasher, Disposal, Range Hood, Microwave, Oven Range - Gas, Refrigerator"," In Garage, Tub / Sink",1586," 1,586 sqft"," Living Room, Wood Burning"," Attached, Garage Door Opener",,, Low Maintenance, SingleFamily,," Residential, Single Family Residence", Composition,1963, Public Sewer,, Milpitas, Storage,1,1,1,2,72,B-,B-,C-,C+
470,431,19476423,792 Erie Pl,95035,Milpitas,CA,37.442814,-121.90801,1595000,3,4,1860,SINGLE_FAMILY,-1,1585900,4099,637855,3345.408,sqft,4,3,2," Carpet, Laminate, Tile", Central Forced Air, Central Air," Gas Cooktop, Dishwasher, Disposal, Microwave, Oven Range", In Garage,1860," 1,860 sqft"," Family Room, Wood Burning"," Attached, Common, Garage Door Opener",,, Low Maintenance, SingleFamily,," Residential, Single Family Residence", Composition,1984, Public Sewer,, Milpitas,,2,2,2,2,72,B-,B-,C-,C+
471,432,121043047,236 Gerald Cir,95035,Milpitas,CA,37.431034,-121.88758,1795000,3,3,1940,SINGLE_FAMILY,-1,1749220,4229,1178946,3049.2,sqft,3,3,2, Other, Gravity, Central Air," Dishwasher, Disposal, Gas Range, Microwave, Refrigerator, Dryer, Washer, Tankless Water Heater"," 220 Volt Outlet, Laundry Room",1940," 1,940 sqft", None," Attached, Garage Door Opener",,," Level, Regular", SingleFamily,, Single Family Residence,,2014, Public Sewer,, Milpitas," Kitchen/Family Combo, Stone Counters, Kitchen Island",2,2,2,2,72,B-,B-,C-,C+
